protocol,region,species_id,taxon_group,seed,n_presence,n_PA_test,lambda_s,lambda_selection,lambda_source,background_scheme,objective,remediation,integration_support,n_background,model,converged,runtime_s,skip_reason,auc_roc,auprc,prg,cor,pos_weight,maxnet_max_bg,maxnet_bg_n,tgb_tgb_group,tgb_tgb_n_other_sites,tgb_tgb_n_used,tgb_tgb_excludes_focal_presence
tgb_closure_v1,NSW,nsw16,nb,0,120,1137,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,maxnet_default,primary,tgb_other_po_same_group,148,maxnet_bg50k,True,1.2218177140020998,,0.6359978050118895,0.1687332920500533,0.25138540740160037,0.16333067630321413,,50000.0,148.0,nb,148.0,148.0,True
tgb_closure_v1,NSW,nsw17,nb,0,148,1137,0.1,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,ipp,primary,full_background_50k,50000,additive_kan_ipp,True,5.001994622987695,,0.5228858697200147,0.12413813564682505,0.03389569139092415,0.030057357587462356,,,,,,,
tgb_closure_v1,NSW,nsw17,nb,0,148,1137,0.1,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,ipp,primary,full_background_50k,50000,gam_ipp_same_basis,True,12.638536802987801,,0.522878749038708,0.12412811280434133,0.03393260171021289,0.030099958502425767,,,,,,,
tgb_closure_v1,NSW,nsw17,nb,0,148,1137,0.1,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,bce_pos_weight,primary,full_background_50k,50000,additive_kan_bce,True,5.163268955991953,,0.571256657837022,0.14309628198633942,0.1519193716345583,0.09212761938749293,337.8378378378378,,,,,,
tgb_closure_v1,NSW,nsw17,nb,0,148,1137,0.1,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,maxnet_default,primary,full_background_50k,50000,maxnet_bg10k,True,6.973924271995202,,0.5078185080748525,0.12165366339620817,0.0060926525083290295,0.012033012244800833,,10000.0,10000.0,,,,
tgb_closure_v1,NSW,nsw17,nb,0,148,1137,0.1,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,maxnet_default,primary,full_background_50k,50000,maxnet_bg50k,True,32.60550344300282,,0.5133940015380671,0.12316155360496983,0.018175938379194685,0.017978267723558265,,50000.0,50000.0,,,,
tgb_closure_v1,NSW,nsw17,nb,0,148,1137,0.1,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,ipp,primary,tgb_other_po_same_group,120,additive_kan_ipp,True,0.30232400201202836,,0.5271796405480077,0.12025588518643657,-0.02246095299395039,0.057569892885594796,,,,nb,120.0,120.0,True
tgb_closure_v1,NSW,nsw17,nb,0,148,1137,0.1,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,ipp,primary,tgb_other_po_same_group,120,gam_ipp_same_basis,True,1.7478680109925335,,0.5271796405480077,0.12025588518643657,-0.02246095299395039,0.0575684975488762,,,,nb,120.0,120.0,True
tgb_closure_v1,NSW,nsw17,nb,0,148,1137,0.1,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,bce_pos_weight,primary,tgb_other_po_same_group,120,additive_kan_bce,True,0.5023477030044887,,0.504151357201857,0.11316714677485198,-0.08621462643759982,-0.04109700189480579,0.8108108108108109,,,nb,120.0,120.0,True
tgb_closure_v1,NSW,nsw17,nb,0,148,1137,0.1,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,maxnet_default,primary,tgb_other_po_same_group,120,maxnet_bg10k,True,1.226279288996011,,0.5543948845025493,0.1257165173166529,0.01403850728983356,0.0779861231199438,,10000.0,120.0,nb,120.0,120.0,True
tgb_closure_v1,NSW,nsw17,nb,0,148,1137,0.1,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,maxnet_default,primary,tgb_other_po_same_group,120,maxnet_bg50k,True,1.2261070890090195,,0.5543948845025493,0.1257165173166529,0.01403850728983356,0.0779861231199438,,50000.0,120.0,nb,120.0,120.0,True
tgb_closure_v1,NSW,nsw18,ot,0,69,2075,0.1,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,ipp,primary,full_background_50k,50000,additive_kan_ipp,True,5.223166551993927,,0.6406894634417569,0.3127563981444292,0.2995695692897373,0.1803308988453485,,,,,,,
