species_id,ours_auc,valavi_auc,valavi_auprc,n_eval,n_pos,region,delta_auc
nsw16,0.6365465520395097,0.6466280198674565,0.1812893331061635,1137.0,143.0,NSW,-0.0100814678279468
nsw17,0.5078185080748525,0.5130664501979549,0.1216960492531943,1137.0,141.0,NSW,-0.0052479421231024
nsw18,0.7380191826522102,0.6611954406449818,0.3322389108701642,2075.0,440.0,NSW,0.0768237420072284
nsw19,0.9574964763918252,0.960183227625088,0.0747043963393598,2075.0,11.0,NSW,-0.0026867512332628
nsw20,0.8021908070975784,0.7534015860806832,0.1819777815324492,2075.0,37.0,NSW,0.0487892210168952
nsw21,0.8817837684851058,0.9120675015920184,0.1432287268169919,2075.0,56.0,NSW,-0.0302837331069127
nsw22,0.8930097087378641,0.90168284789644,0.1004112241760375,2075.0,15.0,NSW,-0.0086731391585759
nsw23,0.7770657001044932,0.7836409352142111,0.4619977464465927,2075.0,480.0,NSW,-0.0065752351097179
nsw24,0.5854476582438554,0.681603936265606,0.137554284159646,2075.0,184.0,NSW,-0.0961562780217506
nsw25,0.6480925784592613,0.6715667568630171,0.0687962438347316,2075.0,87.0,NSW,-0.0234741784037558
nsw26,0.7949308755760369,0.6470265525565064,0.0091608672304698,1309.0,7.0,NSW,0.1479043230195305
nsw27,0.5411620890553475,0.5522146795672076,0.3834445599952977,1309.0,445.0,NSW,-0.0110525905118601
nsw28,0.6800722435696361,0.7004072890526977,0.58275868055173,1309.0,512.0,NSW,-0.0203350454830615
nsw29,0.8461571563817885,0.7848351837507531,0.061710480230659,1309.0,18.0,NSW,0.0613219726310353
nsw30,,,,,,NSW,
nsw31,0.5643838942217906,0.5505289844246068,0.5308033670743719,1309.0,653.0,NSW,0.0138549097971837
nsw32,0.7088719361446635,0.7917991099809283,0.1168565345505497,1309.0,22.0,NSW,-0.0829271738362648
nsw33,0.5027770431102883,0.4965323694495871,0.3722885179948277,1309.0,513.0,NSW,0.0062446736607011
nsw34,0.5483530342851581,0.5485561805123517,0.3546197981368557,1036.0,339.0,NSW,-0.0002031462271935
nsw35,0.4396123685922679,0.4386878060473239,0.0261109339670508,1036.0,29.0,NSW,0.0009245625449439
nsw36,0.8745235863792565,0.872696032489847,0.3737370269103869,1036.0,66.0,NSW,0.0018275538894095
nsw37,0.5653201520537126,0.5679119766982623,0.2583580062849944,1036.0,192.0,NSW,-0.0025918246445497
nsw38,0.5263808993628998,0.533395187728088,0.0827736448910836,1036.0,85.0,NSW,-0.0070142883651882
nsw39,0.5215721453314073,0.5395812945617223,0.4061221293372049,1036.0,414.0,NSW,-0.018009149230315
nsw40,0.659270170299083,0.644256366157429,0.4408982741821179,1036.0,359.0,NSW,0.0150138041416539
nsw41,0.589993502274204,0.5896052235376155,0.2281085632464521,909.0,171.0,NSW,0.0003882787365885
nsw42,0.9707182320441988,0.9696132596685082,0.2087235228539576,909.0,4.0,NSW,0.0011049723756906
nsw43,0.6877371599593821,0.6754983699428143,0.3425741178465736,909.0,216.0,NSW,0.0122387900165678
nsw44,0.991604938271605,0.9923456790123456,0.6290710216739137,909.0,9.0,NSW,-0.0007407407407405
nsw45,0.8093761160924078,0.7506250117483412,0.3897127408535623,909.0,138.0,NSW,0.0587511043440666
nsw46,0.9878413767302656,0.98559670781893,0.746565884157848,909.0,18.0,NSW,0.0022446689113355
nsw47,0.8988720037599875,0.9169277769074105,0.2050612821981744,1008.0,26.0,NSW,-0.0180557731474229
nsw48,0.860712425487586,0.8834278604085885,0.4386927875887352,1008.0,74.0,NSW,-0.0227154349210024
nsw49,0.693922745449288,0.7633523989533892,0.3374548390607572,1008.0,169.0,NSW,-0.0694296535041012
nsw50,0.7379746224731026,0.7728566603946543,0.0698572577411135,1008.0,21.0,NSW,-0.0348820379215516
nsw51,0.6274118429807052,0.7085828343313374,0.0186633364958209,1008.0,6.0,NSW,-0.0811709913506322
nsw52,0.7897695819404005,0.799856213379345,0.4243839157417247,1008.0,165.0,NSW,-0.0100866314389445
nsw53,0.6516404273794691,0.6372560123834333,0.0891332358666578,1008.0,27.0,NSW,0.0143844149960358
nsw54,0.4542713567839195,0.5083880943177426,0.0147301728309384,1008.0,13.0,NSW,-0.054116737533823
nz01,0.7344564570868758,0.8274974474460147,0.009927606463504,19120.0,66.0,NZ,-0.0930409903591389
nz02,0.8007585897473412,0.7687984107277964,0.4890851337927955,19120.0,5130.0,NZ,0.0319601790195447
nz03,0.6591614575600733,0.6575373523476999,0.026308922310713,19120.0,217.0,NZ,0.0016241052123733
nz04,0.7789717275076045,0.8086854782451963,0.2395394414552571,19120.0,1776.0,NZ,-0.0297137507375918
nz05,0.7421681789095432,0.730838335880157,0.3077701026924693,19120.0,3233.0,NZ,0.0113298430293862
nz06,0.6505437763123854,0.6838475890829531,0.1138781339998962,19120.0,1374.0,NZ,-0.0333038127705677
