region,species_id,seed,auc_additive,auc_deep2,delta_auc
NSW,nsw39,1,0.621437003898908,0.6232777234105349,0.0018407195116268982
NSW,nsw39,2,0.6214447706479022,0.622718517482952,0.0012737468350498826
NSW,nsw40,0,0.6392572507745543,0.6229391506852697,-0.016318100089284582
NSW,nsw40,1,0.6393313117431895,0.6232600815493556,-0.01607123019383383
NSW,nsw40,2,0.6394259452031122,0.6250498882913723,-0.014376056911739932
NSW,nsw41,0,0.6147720249132316,0.5983454571387818,-0.01642656777444973
NSW,nsw41,1,0.6147641008573828,0.5819426615318785,-0.0328214393255043
NSW,nsw41,2,0.6148591895275677,0.5966338610754529,-0.018225328452114775
NSW,nsw42,0,0.8842541436464089,0.7939226519337017,-0.09033149171270716
NSW,nsw42,1,0.8845303867403315,0.7635359116022099,-0.12099447513812156
NSW,nsw42,2,0.8848066298342541,0.6486187845303868,-0.23618784530386727
NSW,nsw43,0,0.6426166426166426,0.6295828656939768,-0.01303377692266583
NSW,nsw43,1,0.6426166426166426,0.6324755491422157,-0.010141093474426932
NSW,nsw43,2,0.6426233231788787,0.639176153065042,-0.0034471701138366617
NSW,nsw44,0,0.994074074074074,0.9623456790123456,-0.03172839506172842
NSW,nsw44,1,0.994074074074074,0.965925925925926,-0.028148148148148033
NSW,nsw44,2,0.994074074074074,0.9612345679012344,-0.032839506172839594
NSW,nsw45,0,0.7002481249647549,0.6298990582529747,-0.0703490667117802
NSW,nsw45,1,0.6998909753942743,0.6219947743378635,-0.07789620105641071
NSW,nsw45,2,0.7000319554878851,0.6203030132145341,-0.07972894227335103
NSW,nsw46,0,0.9774909589724404,0.9341563786008232,-0.04333458037161719
NSW,nsw46,1,0.9773039032298292,0.9326599326599326,-0.04464397056989655
NSW,nsw46,2,0.9773039032298292,0.936525751340566,-0.04077815188926315
NSW,nsw47,0,0.9246044179852736,0.9246827510574964,7.833307222282482e-05
NSW,nsw47,1,0.924643584521385,0.9138336205545984,-0.010809963966786573
