region,species_id,n_seed,auc_additive,auc_deep2,delta_auc,delta_sd
NSW,nsw53,3,0.6891682712273944,0.7171442594480312,0.02797598822063659,0.003585870239559166
NSW,nsw54,3,0.5480479319675299,0.5439505218399691,-0.004097410127560856,0.0013210674519238104
NZ,nz01,3,0.8305456687161316,0.840852632549914,0.010306963833782379,0.03541306114347295
NZ,nz02,3,0.7487987149458376,0.7241412203369992,-0.024657494608838332,0.005348109658088474
NZ,nz03,3,0.6328259406316653,0.6315584137076885,-0.0012675269239767288,0.0018885655538663398
NZ,nz04,3,0.8104624620728894,0.8232648097965356,0.012802347723646227,0.0009507236377382194
NZ,nz05,3,0.7277092475713863,0.7227047181145752,-0.0050045294568111425,0.001257790946266126
NZ,nz06,3,0.6371890504823222,0.6477637250931018,0.01057467461077947,0.002751104696815988
NZ,nz07,3,0.8936654369613799,0.9036965207161245,0.010031083754744522,0.000987747490951127
NZ,nz08,3,0.7802812115586106,0.7518441240535353,-0.02843708750507523,0.00046286642327935475
NZ,nz09,3,0.7904975855916573,0.7849580629613956,-0.005539522630261769,0.007855235844539052
NZ,nz10,3,0.6160545894204276,0.6221608619988183,0.006106272578390803,0.0013731923150862462
NZ,nz11,3,0.7961315938899048,0.82727135061464,0.031139756724735013,0.0016869750061321114
NZ,nz12,3,0.5408316448842956,0.5211253402804603,-0.019706304603835267,0.015253241901594081
NZ,nz13,3,0.7134577436653272,0.6187305756012551,-0.09472716806407211,0.008530847070096043
NZ,nz14,3,0.4349925614393606,0.48474126920356325,0.04974870776420265,0.009761604184062241
NZ,nz15,3,0.9068126018169839,0.8382688820900915,-0.06854371972689237,0.027028980401095817
NZ,nz16,3,0.5575991181119188,0.5237169341241932,-0.03388218398772554,0.023352981908583308
NZ,nz17,3,0.6669220791199509,0.6610286676722811,-0.005893411447669787,0.0015277533517334691
NZ,nz18,3,0.9450110629958594,0.9399835811093199,-0.005027481886539416,0.0007753927813392639
NZ,nz19,3,0.6550269741630276,0.6547880049126636,-0.00023896925036389258,0.002610230545257755
NZ,nz20,3,0.9439977677598353,0.9378019069025557,-0.006195860857279596,0.0003289489395021212
NZ,nz21,3,0.727979099431781,0.6955103405597218,-0.03246875887205921,0.006510196957308066
NZ,nz22,3,0.6059489075705602,0.6265942218833317,0.02064531431277154,0.0009806040765031985
NZ,nz23,3,0.5191291513608176,0.5054542218716332,-0.013674929489184398,0.001930499098488419
NZ,nz24,3,0.7431327970152735,0.7760271656756442,0.032894368660370765,0.009808083454720458
NZ,nz25,3,0.8473038079588017,0.847852768053713,0.0005489600949111958,0.002148322433360478
NZ,nz26,3,0.8917998615609787,0.7827400423149875,-0.10905981924599102,0.007608195470694667
NZ,nz27,3,0.5806348991466959,0.5788705312298777,-0.0017643679168180364,0.0015549379986853713
NZ,nz28,3,0.6294663675458476,0.6303688522823431,0.0009024847364954569,0.0033914047539469637
NZ,nz29,3,0.6825618745574994,0.6540390587171858,-0.028522815840313537,0.0021489829993763523
